,AP,AP50,AP75,APs,APm,APl,AP-person,AP-bicycle,AP-car,AP-motorcycle,AP-airplane,AP-bus,AP-train,AP-truck,AP-boat,AP-traffic light,AP-fire hydrant,AP-stop sign,AP-parking meter,AP-bench,AP-bird,AP-cat,AP-dog,AP-horse,AP-sheep,AP-cow,AP-elephant,AP-bear,AP-zebra,AP-giraffe,AP-backpack,AP-umbrella,AP-handbag,AP-tie,AP-suitcase,AP-frisbee,AP-skis,AP-snowboard,AP-sports ball,AP-kite,AP-baseball bat,AP-baseball glove,AP-skateboard,AP-surfboard,AP-tennis racket,AP-bottle,AP-wine glass,AP-cup,AP-fork,AP-knife,AP-spoon,AP-bowl,AP-banana,AP-apple,AP-sandwich,AP-orange,AP-broccoli,AP-carrot,AP-hot dog,AP-pizza,AP-donut,AP-cake,AP-chair,AP-couch,AP-potted plant,AP-bed,AP-dining table,AP-toilet,AP-tv,AP-laptop,AP-mouse,AP-remote,AP-keyboard,AP-cell phone,AP-microwave,AP-oven,AP-toaster,AP-sink,AP-refrigerator,AP-book,AP-clock,AP-vase,AP-scissors,AP-teddy bear,AP-hair drier,AP-toothbrush
baseline,29.61129414,54.51773453,29.39380352,16.90874644,32.77125682,37.36637243,48.64857717,20.37187944,36.89794261,32.29732773,44.13413947,51.16870772,45.94317852,27.50766913,18.83147511,22.56309157,38.95387387,53.09994089,38.76768929,17.51871881,28.43447412,54.30294117,47.63408141,42.85689395,42.13297347,39.43346117,49.65561813,51.80878268,51.16329115,54.46896347,12.04492306,28.1375674,10.05973207,28.9478617,25.02832339,45.66570294,15.56372257,21.72775022,41.08080794,32.849273,18.20442344,29.69676094,33.02016688,20.91516262,35.09102788,31.09923927,28.6388481,34.55570275,26.91559392,10.49776175,10.68002778,33.61561841,18.80569616,5.089100948,25.66011386,9.525866406,18.1430952,15.00636434,20.52769301,43.34489929,21.01526358,25.38442759,22.3806662,36.67251844,16.68741587,29.65209318,20.16579138,45.79280302,47.54338985,45.49652721,36.83494335,20.28234417,40.91576296,24.79223322,40.06785046,21.53331873,0,28.01205938,43.7188812,11.8822367,30.3288927,18.6801527,14.72211679,37.60732316,0,0
baseline (Detectron2),42.03580044,62.48031742,45.87633995,25.22474119,45.55451168,54.59223666,55.66981015,32.05684754,45.34067872,44.37984461,64.63408643,64.54604304,61.3823179,36.05005646,29.23997533,28.49860191,68.26442845,65.69035326,48.33999631,24.52791962,35.77530758,67.96509552,59.2200655,57.97830393,52.73929393,56.25624631,62.24924551,70.96244957,66.29463844,67.76804857,16.47902029,38.76607831,16.33477724,36.8388056,41.26707794,62.65581685,25.63837478,35.79375666,47.2090727,43.45585656,28.81785009,37.90156904,51.98094317,40.17695426,50.07912736,40.17796131,37.02162212,44.35719469,38.8626303,20.12857373,19.12251114,42.84917798,23.18429861,22.19712868,34.15808955,32.67862249,24.06094263,23.86970887,33.64463675,52.53676469,47.13507948,36.96342542,28.27596257,42.79009593,26.10218648,39.36843635,29.13580641,59.62715167,57.22168167,60.66748895,63.48983939,32.92298187,51.2979531,35.19866102,55.62170893,32.93652813,35.87238724,38.20091806,55.02209694,15.471754,49.98723162,37.28297108,28.39186016,46.03182277,2.871673584,26.90173312
baseline_counter,38.76843392,59.81024314,42.42540446,22.97071157,42.36486497,49.83570383,54.90588862,30.02319294,42.09370951,40.42626493,60.7035606,63.03230762,60.19537685,35.16557959,27.41575468,27.03286401,66.18154955,62.46511503,45.6056445,22.4589009,34.37299095,64.85507392,56.38883103,54.56918203,50.7528155,53.07191634,59.69984965,64.70619965,64.32044478,63.71416542,14.55736096,36.1468515,14.48375013,35.18028918,37.61130837,58.29865203,22.97585807,32.01691278,45.08576457,41.02354247,27.65838132,35.21071997,46.78213971,36.70070186,47.64260989,37.30234654,33.8115483,42.5048289,35.60215636,16.2885193,15.04624866,39.81907714,20.21853391,19.59501463,31.33738718,29.14670245,22.5723783,21.68794328,28.0154433,48.0468194,42.54083552,34.49594805,25.70707503,38.72992753,23.98530373,35.50692993,27.0309804,57.59626512,55.22105891,58.4342,57.85064869,28.11423738,47.31825866,32.15800449,52.65798377,30.3103605,0,35.41984293,52.76458177,14.2491132,46.96664854,36.16687312,23.71514013,44.35094282,0,23.65658449
baseline2,34.36672299,56.57026741,36.71307743,20.32547292,38.8148876,42.77641673,52.31118693,26.93095157,40.11603167,37.85493667,54.70955287,55.82655703,51.27338992,29.6734548,21.69962906,24.75556858,55.23126755,55.07238632,38.27605644,19.06848349,30.68209934,55.34012544,49.7897858,49.23806686,45.98079464,49.45084338,53.91163993,59.52782529,58.98144728,60.84805514,12.88991117,31.40398715,11.17898576,30.71801237,31.04270756,56.60790793,19.02564535,27.20821046,43.47870357,37.28626108,22.06805693,30.92656284,44.30814092,31.01239557,43.53313949,35.33381731,30.70847842,38.9021327,28.81530128,14.7082239,12.69553682,35.3775778,18.07960804,17.04266122,28.02253843,24.44370046,20.31789113,19.91495223,21.89320493,43.46342029,40.72918055,30.230779,23.60678435,33.78917277,21.06122777,31.09743166,21.74190166,49.6901514,48.72989201,49.88083378,56.55689519,23.04273791,45.0418867,27.32584631,49.94239394,23.60538311,0,30.37919465,43.64900532,11.86625065,44.85445245,32.0173921,17.5671176,37.3670608,0,16.60705822
rav_net_128,38.41270295,59.6448288,42.11823718,22.75466639,42.12698959,49.23991287,54.56782004,31.20615029,43.21661032,41.04036702,61.25213867,62.63151575,57.50627777,33.38072713,26.70151837,25.95977948,63.90493002,61.60146956,41.11465253,23.0555813,35.43279917,66.89436777,55.61713107,52.99875143,51.27185861,53.64656972,57.82661387,64.6750972,64.34389408,64.26510295,14.23158201,35.13037039,14.77687378,35.1026621,38.16799984,59.18778459,23.12160943,33.90726857,40.13580354,42.24157721,27.04439221,33.9129205,48.06418581,36.06537056,46.48915078,37.43025062,33.92142256,40.35866924,35.90837719,17.40309764,17.15626603,39.7206575,21.72151011,17.58322878,31.2957162,29.06068511,22.48441553,20.62737616,30.18906931,47.91601188,43.67052666,34.58338044,26.24113616,39.7000958,25.23317436,36.58294481,27.07196412,57.08911877,53.59487066,56.10157687,56.87163128,28.83141891,49.09163971,30.80847346,50.60359287,30.32920535,0,31.44159514,50.90853765,13.22361406,46.83203147,34.70525407,25.13123996,40.50302684,0,19.39815725
rav_net_32,38.64954334,59.95412365,42.38991447,22.60267261,42.27273924,49.36891038,54.70634627,28.83703918,43.1047395,41.55329625,61.46277971,61.96200681,57.34607327,33.43202228,25.8542446,26.76252116,64.12975162,61.93210931,45.96061638,22.61831405,34.92671753,64.71474221,54.00529724,54.62240387,49.66149305,51.61785937,60.18241831,64.99796671,63.24171404,65.65878923,15.08627857,36.28912472,14.24450593,34.10186277,36.13077459,58.18800223,24.70685135,31.61453357,44.88201095,42.54308311,25.42927256,35.29735465,48.9601018,36.67969672,44.72796495,37.35600028,35.64275961,41.05814669,35.55909843,17.25679358,16.60225186,38.97027736,21.65458001,19.66825551,32.33051231,29.60036475,22.66594304,20.37275695,28.01532415,49.84680717,42.94316055,34.08716205,26.37726939,39.67045157,25.24604029,38.20690493,26.96619639,54.93882283,54.45135481,56.89541943,58.57081939,29.74558099,51.06692564,30.25811368,49.17647198,29.36846032,0,35.72133088,53.2946291,14.34410548,48.03057324,34.85219005,23.24788524,42.92833671,0,22.80271044
rav_net_64,38.8737,59.7792,42.5983,23.0168,42.6328,49.936,54.89549701,29.93045039,43.33360429,42.13637453,60.36944391,63.59802278,60.15433583,33.59481272,26.69416408,26.41091116,64.97106112,62.95798643,46.51201622,23.18511319,34.38465375,65.06953913,56.48597389,55.12837803,50.91855496,54.85159228,58.92314918,66.91129823,61.66338161,63.16804281,14.40449217,35.32857904,13.24968275,33.53587967,38.66046319,57.20696646,22.64185215,33.48856076,45.97229108,41.64231321,25.87589193,35.20089501,47.72192531,36.46303422,47.06803173,38.41878581,34.77021531,41.66226723,35.3516161,16.25307113,16.87521954,40.97201764,21.6634537,20.34324094,33.26010714,28.9251343,22.34061045,21.11496456,30.05740602,49.88049641,43.41361519,34.89826741,26.46425819,39.36085333,24.40070842,35.99721163,26.26344826,56.68507626,54.03582183,58.76386831,57.81633538,28.99541351,50.34002163,32.57180603,52.96479143,28.44467912,0,35.3446734,53.71276657,14.10434935,47.04932808,34.66295097,24.96076378,42.62743024,0,19.42212128
rav_net_64 hard,28.89435337,45.47211644,31.23920645,14.98545368,31.81857305,38.60109985,50.90845793,21.23405009,36.69306276,37.78736795,47.42988118,59.05895301,55.98541595,18.23212019,19.99910127,19.37770438,57.61054589,39.58733165,13.21071885,14.63738992,26.00821653,58.11713205,42.36919328,36.09673084,38.79084454,34.14475623,38.32381625,54.75724793,55.28060694,60.82572968,9.364368456,22.40233979,9.476495573,24.74586015,33.64399083,48.05880168,16.90606382,22.97677614,33.34703482,38.0231317,20.97890977,31.2406863,43.39661742,28.01840823,42.50556028,19.4360709,30.23168682,32.20675505,18.64320111,8.198118894,8.475083287,23.82919415,14.35562805,7.576115754,25.10763189,18.82233154,14.23732223,11.00212971,16.49466098,36.20099081,31.58364306,28.92520645,20.13406878,26.82557322,14.70120621,23.95091758,14.29549584,50.29393038,43.53836103,44.7284256,36.303528,19.22920128,33.32365068,15.45564253,41.89769063,22.06292843,0,28.00656834,47.21666185,10.76509043,27.49055345,27.87699728,19.40081508,22.40882575,0,14.76494642
rav_net_64 soft,38.70418682,59.52497427,42.46098932,22.83460428,42.45888754,49.90881035,54.80594259,30.04479402,43.20793177,41.94277628,60.35870646,63.307748,60.41095143,34.02924609,26.80690052,26.0418957,65.25705736,63.19540365,46.11395201,22.65742515,33.65449722,64.27631558,56.16821738,56.0221029,50.86993117,53.61174897,58.5521599,65.74303921,61.20821445,62.96849335,14.32319486,35.27852288,13.35244588,33.38756741,37.81357575,56.24965602,22.33258926,33.66034113,45.63841078,40.73991793,25.50885633,34.86303158,47.69026005,36.56467865,46.58758136,38.50383287,34.30328011,41.68351637,35.4343811,16.19034325,16.39314883,40.94581879,21.8361152,21.80628591,33.21672099,29.19202359,21.40658278,20.50536958,30.72968753,50.0141215,43.7880144,34.79602918,26.27072084,38.85610034,23.92374184,35.93950372,26.60777154,56.82690757,53.89285247,58.94295172,57.46471148,28.3051622,50.71622578,32.8287118,51.26745812,28.56550337,0,35.13595782,53.44303687,13.98029512,46.79101767,34.44252807,24.80245837,42.03860537,0,19.30137027
rav_net_64_2,35.48802792,57.56097027,38.56783753,20.43881023,39.6198427,45.07157796,52.81971652,27.95498852,40.72911142,37.97671724,51.97884123,58.63454017,52.59170361,30.24743295,23.49815307,25.58224507,55.8377937,56.95501347,41.86817582,20.54877114,31.2802921,60.74907934,52.14769563,51.08142651,46.6645841,51.20777219,54.56761742,60.601122,61.62900308,63.27716239,13.76682494,32.72449624,12.43873043,31.14949116,34.41365001,54.85862852,19.43607043,27.83772937,42.11971982,39.03007509,21.98452746,32.37804784,45.16969001,32.16427439,43.05994398,35.22324117,32.43709425,39.28732337,31.09021156,14.87402692,13.41679198,37.43533678,20.11383354,16.93239824,29.94409327,24.80612374,21.92268032,20.55973954,26.43879226,45.57439236,41.57082543,33.20686615,24.15495288,33.94836773,23.62177053,31.77225627,22.06307888,51.47701391,51.21700266,53.42717542,54.86171463,25.93943605,46.20233687,28.75815983,45.81801673,25.69229403,0,33.1725632,44.53126575,12.65485639,44.62117034,31.62364324,19.00593111,39.91244413,0,16.7721541
rav_net_81,38.88255612,60.01834846,42.72711656,22.88847424,42.49051121,50.07603096,54.9118134,30.63898045,43.05055436,41.78667731,59.48520474,62.72199974,53.08103255,34.75140126,26.69593477,26.16601838,64.1442358,63.38401211,44.34330431,23.02913512,32.92796707,65.15474868,56.29723127,55.87988891,51.95872731,54.56250595,60.22456632,61.70368821,60.85863952,64.62421035,14.73500105,34.79540644,14.5406965,34.88408397,38.97369206,59.73917036,21.24966378,33.34085409,46.02259613,40.95264169,26.73695823,35.95380175,49.5355725,36.26581895,47.48321052,37.98298498,33.95750579,42.45066702,35.49440536,17.54583827,18.10892579,40.41966046,21.04845088,19.52500721,34.19460726,27.8727402,23.21477061,22.23836468,31.84469544,49.26411818,45.52350417,35.18023799,26.39037256,40.70225942,25.62224187,38.42112034,26.76188563,56.22302315,53.85700535,58.53185366,60.14428281,29.38883401,49.80076364,32.60984319,50.75055885,30.02071098,0,35.28864532,52.25229642,14.47280779,44.60566482,35.46558385,24.09121456,43.47655447,0,18.268837
rav_net_wo_attn,38.92614559,59.93245123,42.7900552,23.14776579,42.55552075,49.74165599,54.67755619,29.23804101,43.53824316,42.94331903,61.45915461,62.26473827,57.03556752,33.24176896,27.15808732,26.88088235,60.67407713,63.14696618,43.31843234,22.72250004,34.40675773,65.71686382,55.32280086,54.15598855,49.78451514,54.80868926,60.0845678,66.18996055,62.51027041,63.9126518,15.3395481,35.25685789,14.01924642,35.53978658,38.55434101,60.08200358,22.45163096,34.3120785,45.91532149,41.32013656,25.55162407,36.2929199,50.5543619,36.43644634,47.44595577,38.59060192,35.80286655,41.4368244,35.3957684,17.06095813,15.78023952,40.36729607,21.3282219,18.84186783,32.1866802,27.31955604,22.63333677,22.08563627,28.20592591,49.7171051,43.56772689,35.79628676,26.62531768,41.18095167,24.76281097,37.16314984,25.92985658,58.32435949,55.33613527,57.66184271,61.3100974,29.12565439,49.30804029,32.91366403,54.48584184,29.85864598,0,35.52846776,50.79613078,13.00688348,47.93369329,34.98899001,24.75001686,43.4451735,0,19.27436553
rav_net_wo_unpack,38.75819795,59.93883422,42.4892363,22.79010613,42.60874251,49.42338988,54.97181329,30.27662921,43.49192946,40.91020165,59.75959032,62.66704645,57.82848176,33.60832686,26.1943029,26.92967274,59.41419525,61.96150383,44.19348357,22.37695318,34.62489566,66.30704862,56.23896083,54.68814156,50.19699622,52.19888879,58.61200814,63.10730185,64.24938879,65.61360429,15.73812176,36.73539124,14.24408959,34.46493895,37.53648428,54.64775767,23.40777281,31.50120053,45.06431063,41.53548603,26.91267092,35.88930081,47.96773186,36.99697167,46.81811404,38.01554932,34.35979335,41.63043823,35.41302668,17.92759647,17.11299922,40.64810377,21.7853438,19.24031341,32.15144773,28.32589982,22.51788846,21.91136441,28.66754055,48.84299345,43.1412227,34.74537883,26.95276315,38.98527599,25.47432965,37.76817094,26.75188576,58.52300155,53.98921158,59.00793742,58.90571715,28.31550774,47.98754487,33.30039039,48.77025498,30.74143006,0,34.77350987,50.45371038,13.85703372,47.9029665,35.32669257,28.34969199,44.62881036,0,23.57139091
